country,COUNT(country)
"United States",2805
India,972
,830
"United Kingdom",419
Japan,245
"South Korea",199
Canada,181
Spain,145
France,123
Mexico,110
Egypt,106
Turkey,105
Nigeria,93
Australia,87
Taiwan,81
Indonesia,79
Brazil,77
Philippines,75
"United Kingdom, United States",75
"United States, Canada",73
Germany,67
China,66
Thailand,61
Argentina,56
"Hong Kong",53
"United States, United Kingdom",46
Italy,45
"Canada, United States",45
Colombia,35
"South Africa",30
"France, Belgium",27
Poland,24
Singapore,23
Malaysia,22
Netherlands,19
Pakistan,18
"United States, Germany",17
"United States, France",16
"United States, Japan",16
"Hong Kong, China",16
Lebanon,15
Russia,15
"United States, Mexico",14
"China, Hong Kong",14
Chile,14
"United Arab Emirates",14
"Germany, United States",13
Sweden,13
"Australia, United States",13
"Mexico, United States",13
Denmark,13
Israel,13
"Japan, United States",12
"New Zealand",12
"United States, Australia",11
Norway,11
"France, United States",10
"India, United States",10
Ireland,10
"United States, India",9
Belgium,9
"United Kingdom, Canada, United States",8
"Saudi Arabia",8
"United States, China",8
"Argentina, Spain",8
Vietnam,7
"United States, France, Japan",7
Kuwait,6
Romania,6
"South Korea, United States",6
"United Kingdom, France",6
"Israel, United States",5
"India, France",5
Iceland,5
"United States, Italy",5
Austria,5
"Spain, France",5
"Italy, France",5
"United States, Czech Republic",5
"United States, New Zealand",5
"United States, United Kingdom, France",4
"Canada, United States, United Kingdom",4
"South Africa, United States",4
"Hong Kong, United States",4
"United States, Russia",4
"Italy, United States",4
"Mexico, Spain",4
"United States, Bulgaria",4
"Poland, United States",4
Hungary,4
"United Kingdom, France, United States",4
"United States, Spain",4
"United Kingdom, Canada",4
Peru,4
"United Kingdom, Germany",4
"United States, United Kingdom, Australia",4
"United Kingdom, United States, Spain, Germany, Greece, Canada",4
"China, United Kingdom",3
Kenya,3
"Spain, Argentina",3
"Belgium, France",3
"United States, Colombia",3
Uruguay,3
Bangladesh,3
"United Kingdom, United States, Australia",3
"United Kingdom, Ireland",3
"France, Canada",3
"Denmark, United States",3
Ghana,3
"United States, Germany, Canada",3
"France, Egypt",3
"United States, Chile",3
"United Kingdom, Japan, United States",3
"Bulgaria, United States",3
"Sweden, United States",3
"China, Canada, United States",3
"United States, Sweden",3
"United States, South Africa",3
"United States, United Arab Emirates",3
"United States, Ireland",3
"United States, Hong Kong",3
"India, United Kingdom",2
"United Kingdom, Germany, United States",2
"China, Taiwan",2
"United Kingdom, United States, France",2
"United Kingdom,",2
"Argentina, Chile",2
"United States, Thailand",2
"Germany, Czech Republic",2
"Canada, United States, France",2
"Portugal, Spain",2
"United States, South Korea",2
"United States, United Kingdom, Canada",2
"Canada, United Kingdom, United States",2
"Spain, Italy",2
"United States, China, Hong Kong",2
"Lebanon, Canada, France",2
"United Kingdom, France, Germany, United States",2
"China, United States",2
"Canada, United Kingdom",2
"Serbia, United States",2
"Thailand, United States",2
"United States, Nigeria",2
"Turkey, United States",2
"Brazil, France",2
"United Kingdom, Nigeria",2
"Egypt, France",2
"United States, Argentina",2
"United Kingdom, Italy",2
"Ireland, United Kingdom",2
Jordan,2
"Pakistan, United States",2
"Canada, South Africa",2
"India, Germany",2
"Singapore, United States",2
"Spain, United Kingdom",2
"Canada, Australia",2
"United States, United Kingdom, Germany",2
Switzerland,2
"Australia, Canada",2
"Netherlands, Belgium",2
"Indonesia, Singapore",2
"Hong Kong, China, United States",2
"United Kingdom, India",2
"Norway, Iceland, United States",2
"Czech Republic, United States",2
"United Kingdom, India, United States",2
"Spain, Mexico",2
"United States, Japan, Canada",2
"United Arab Emirates, United States",2
"Australia, United Arab Emirates",2
"India, Soviet Union",2
"France, United Kingdom, United States",2
"Belgium, Netherlands",2
"United Kingdom, Belgium",2
"France, Japan, United States",2
"Ireland, United Kingdom, United States",2
"United States, South Korea, China",2
"Colombia, Mexico, United States",2
"Germany, United Kingdom",2
"United States, Greece",2
"Canada, India",2
Ukraine,2
"Australia, United Kingdom",2
"New Zealand, United States",2
"Canada, Nigeria, United States",1
"France, United States, United Kingdom, Canada",1
"France, United Kingdom",1
"Canada, United States, Mexico",1
"Czech Republic, United Kingdom, United States",1
"Italy, United Kingdom",1
"United States, Brazil, Japan, Spain, India",1
"United States, China, United Kingdom",1
Cameroon,1
"Lebanon, Palestine, Denmark, Qatar",1
"United States, Singapore",1
"Uruguay, Germany",1
"Egypt, Saudi Arabia",1
"United Kingdom, France, Poland, Germany, United States",1
"Ireland, Switzerland, United Kingdom, France, United States",1
"United Kingdom, South Africa, France",1
"United Kingdom, Australia, France",1
"Ireland, United Kingdom, France, Germany",1
"Russia, United States",1
"United States, India, United Kingdom",1
"India, United Kingdom, France, Qatar",1
"United Kingdom, Australia, France, United States",1
"Chile, Brazil",1
Luxembourg,1
"United States, Cambodia, Romania",1
"Spain, Belgium, United States",1
"United States, Italy, France, Japan",1
"Portugal, United States",1
"United States, Italy, Romania, United Kingdom",1
"United Kingdom, Spain, United States",1
"Hungary, United States",1
"Argentina, Venezuela",1
"Canada, United States, Cayman Islands",1
"Canada, Hungary, United States",1
"United Kingdom, Germany, France, United States",1
Senegal,1
"France, Algeria",1
"United Kingdom, Finland, Germany, United States, Australia, Japan, France, Ireland",1
"Philippines, Canada, United Kingdom, United States",1
"Ireland, France, Iceland, United States, Mexico, Belgium, United Kingdom, Hong Kong",1
"United States, France, Serbia",1
"United States, Ireland, United Kingdom, India",1
"United Kingdom, Singapore",1
"United States, Malta, France, United Kingdom",1
"United States, China, Canada",1
"Canada, United States, Ireland",1
"Japan, Canada, United States",1
"Spain, France, Canada",1
"Denmark, Singapore, Canada, United States",1
"United States, France, Denmark",1
"United States, China, Colombia",1
"Spain, Thailand, United States",1
"Ireland, Luxembourg, Belgium",1
"Canada, Belgium",1
"Lebanon, United Arab Emirates, France, Switzerland, Germany",1
"France, Belgium, Italy",1
"Lebanon, United States, United Arab Emirates",1
"Lebanon, France",1
"France, Lebanon",1
"France, Lebanon, United Kingdom",1
"France, Norway, Lebanon, Belgium",1
"Sweden, Czech Republic, United Kingdom, Denmark, Netherlands",1
"United States, United Kingdom, India",1
"Indonesia, Netherlands",1
"Turkey, South Korea",1
Namibia,1
"United Kingdom, Kenya",1
", South Korea",1
"United Kingdom, France, Germany, Spain",1
"United Kingdom, France, United States, Belgium, Luxembourg, China, Germany",1
"United States, France, Canada, Belgium",1
"United Kingdom, China",1
"Germany, China, United Kingdom",1
"Australia, New Zealand, United States",1
"Hong Kong, Iceland, United States",1
"France, Australia, Germany",1
"United States, Belgium, Canada, France",1
"South Africa, Angola",1
"United States, Philippines",1
"United States, United Kingdom, Canada, China",1
"United States, Canada, United Kingdom",1
"Peru, Germany, Norway",1
Mozambique,1
"China, Spain, South Korea, United States",1
"France, Belgium, Luxembourg, Cambodia,",1
"United Kingdom, Australia",1
Belarus,1
"Indonesia, United Kingdom",1
"Switzerland, France, Belgium, United States",1
"Spain, France, Canada, United States",1
"Chile, Italy",1
"France, Brazil, Spain, Belgium",1
"Egypt, Algeria",1
"Canada, South Korea, United States",1
"Nigeria, United Kingdom",1
"United States, France, Canada",1
"United Arab Emirates, Jordan, Lebanon, Saudi Arabia",1
"United States, Mexico, Spain, Malta",1
"Saudi Arabia, United Arab Emirates",1
Zimbabwe,1
"United Kingdom, Germany, United Arab Emirates, New Zealand",1
"Romania, United States",1
"Canada, Nigeria",1
"Saudi Arabia, Netherlands, Germany, Jordan, United Arab Emirates, United States",1
"United Kingdom, Spain",1
"Finland, France",1
"United Kingdom, Germany, United States, France",1
"India, United Kingdom, China, Canada, Japan, South Korea, United States",1
"Italy, United Kingdom, France",1
"India, Nepal",1
"United States, Mexico, Colombia",1
"Turkey, India",1
"Italy, Turkey",1
"United Kingdom, United States, Japan",1
"France, Belgium, United States",1
"Puerto Rico, United States, Colombia",1
"Uruguay, Argentina",1
"United States, United Kingdom, Japan",1
"New Zealand, Australia, France, United States",1
"Italy, Brazil, Greece",1
"United Kingdom, France, Belgium, Canada, United States",1
"Netherlands, Germany, Denmark, United Kingdom",1
"Austria, Germany",1
"Taiwan, China",1
"United Kingdom, United States, Ireland",1
"Brazil, United Kingdom",1
"Belgium, United Kingdom",1
"Romania, France, Switzerland, Germany",1
"Switzerland, United Kingdom, Australia",1
"Romania, United Kingdom",1
"France, Malta, United States",1
Cyprus,1
"United Kingdom, France, Belgium, Ireland, United States",1
"United States, Norway, Canada",1
"Kenya, United States",1
"France, South Korea, Japan, United States",1
"United States, India, France",1
"Taiwan, Malaysia",1
"Uruguay, Argentina, Germany, Spain",1
"United States, United Kingdom, France, Germany, Japan",1
"Spain, France, United States",1
"Indonesia, South Korea, Singapore",1
"Netherlands, Germany, Italy, Canada",1
"Spain, Germany, Denmark, United States",1
"Norway, Sweden",1
"South Korea, Canada, United States, China",1
"Argentina, Uruguay, Serbia",1
"France, Japan",1
"Mauritius, South Africa",1
"United States, Poland",1
"United Kingdom, United States, Germany, Denmark, Belgium, Japan",1
"India, United Kingdom, Canada, United States",1
"Philippines, United States",1
"Romania, Bulgaria, Hungary",1
"Uruguay, Guatemala",1
"France, Senegal, Belgium",1
"Mexico, United States, Spain, Colombia",1
"Canada, Norway",1
"Finland, Germany, Belgium",1
"Argentina, United States, Mexico",1
"United States, South Korea, Japan",1
"United Kingdom, Hungary, Australia",1
"Italy, Belgium",1
"Singapore, Malaysia",1
"France, Belgium, Luxembourg, Romania, Canada, United States",1
"South Africa, Nigeria",1
"United Kingdom, Hong Kong",1
"Spain, United Kingdom, United States",1
"Brazil, United States",1
"Denmark, Brazil, France, Portugal, Sweden",1
"India, Turkey",1
"Spain, France, United Kingdom, United States",1
"Malaysia, Singapore, Hong Kong",1
"Philippines, Singapore",1
", France, Algeria",1
"Taiwan, China, France, United States",1
"Germany, Italy",1
"Colombia, Peru, United Kingdom",1
"Thailand, China, United States",1
"Argentina, United States",1
"Uruguay, Spain, Mexico",1
"France, Luxembourg, Canada",1
Finland,1
"Denmark, Spain",1
"Chile, Argentina",1
"United Kingdom, Belgium, Sweden",1
"Canada, Brazil",1
"France, Israel, Germany, United States, United Kingdom",1
"Canada, Germany",1
"Pakistan, United Arab Emirates",1
"Ghana, United States",1
"Mexico, Finland",1
"United Arab Emirates, United Kingdom, India",1
"United States, Taiwan",1
"Austria, Iraq, United States",1
"United Kingdom, Malawi",1
"Paraguay, Argentina",1
"United Kingdom, Russia, United States",1
"India, Pakistan",1
"Spain, Belgium",1
"Iceland, Sweden, Belgium",1
Croatia,1
"Uruguay, Argentina, Spain",1
"United Kingdom, Ireland, United States",1
"Canada, Germany, France, United States",1
"United Kingdom, Japan",1
"Norway, Denmark, Netherlands, Sweden",1
"Ireland, Canada",1
"Italy, Switzerland, France, Germany",1
"Mexico, Netherlands",1
"Germany, France, Russia",1
"France, Iran, United States",1
"Russia, Poland, Serbia",1
"Spain, Portugal",1
"Mexico, Argentina",1
"United Kingdom, Canada, United States, Cayman Islands",1
"Indonesia, United States",1
"United States, Israel, United Kingdom, Canada",1
"United Kingdom, West Germany",1
"Egypt, Denmark, Germany",1
"India, Australia",1
"United States,",1
"Belgium, United Kingdom, United States",1
"India, Germany, Austria",1
"United States, Brazil, South Korea, Mexico, Japan, Germany",1
"South Africa, United States, Japan",1
"China, Japan",1
"Argentina, France",1
"United States, Switzerland",1
"China, United States, United Kingdom",1
"France, Luxembourg, United States",1
"China, United States, Australia",1
"Colombia, Mexico",1
"United States, Canada, Ireland",1
"Chile, Peru",1
"Argentina, Italy",1
"Hong Kong, Canada, United States",1
"Canada, Japan, United States",1
"United Kingdom, Canada, United States, Germany",1
"Italy, Switzerland, Albania, Poland",1
Cambodia,1
"Italy, United States, Argentina",1
"Kuwait, United States",1
"Saudi Arabia, Syria, Egypt, Lebanon, Kuwait",1
"United States, Canada, Indonesia, United Kingdom, China, Singapore",1
"Spain, Colombia",1
"United Kingdom, South Africa, Australia, United States",1
Bulgaria,1
"Argentina, Brazil, France, Poland, Germany, Denmark",1
"United Kingdom, Spain, United States, Germany",1
"France, Canada, United States, Spain",1
"Philippines, Qatar",1
"Netherlands, Belgium, Germany, Jordan",1
"Norway, Germany, Sweden",1
"South Korea, China",1
Georgia,1
"Soviet Union, India",1
"France, Netherlands, Singapore",1
"Canada, Germany, South Africa",1
"South Korea, China, United States",1
"India, Mexico",1
"Georgia, Germany, France",1
"United Arab Emirates, Romania",1
"India, Malaysia",1
"Germany, Jordan, Netherlands",1
"Turkey, France, Germany, Poland",1
"Greece, United States",1
"Norway, Germany",1
"France, Morocco",1
"Cambodia, United States",1
"United States, Denmark",1
"Ireland, United States, United Kingdom",1
"United States, Colombia, Mexico",1
"United Kingdom, Italy, Israel, Peru, United States",1
"Argentina, Uruguay, Spain, France",1
"United Kingdom, France, United States, Belgium",1
"France, Canada, China, Cambodia",1
"United Kingdom, France, Belgium, United States",1
"Spain, Germany",1
"Chile, France",1
"Australia, New Zealand",1
"Netherlands, United States",1
"France, United Kingdom, India",1
"Czech Republic, Slovakia",1
"Singapore, France",1
"Spain, Switzerland",1
"United States, Australia, China",1
"South Africa, United States, Germany",1
"South Korea, Czech Republic",1
"Spain, Italy, Argentina",1
"Chile, Spain, Argentina, Germany",1
"West Germany",1
"Austria, Czech Republic",1
"Lebanon, Qatar",1
"United Kingdom, Jordan, Qatar, Iran",1
"Australia, Germany",1
"France, South Korea, Japan",1
"Israel, Germany, France",1
"Canada, Japan, Netherlands",1
"United States, Hungary",1
"France, Germany",1
"France, Qatar",1
"United Kingdom, Germany, Canada",1
"Ireland, South Africa",1
"United Kingdom, Australia, United States",1
"Chile, United States, France",1
"Belgium, France, Netherlands",1
"United Kingdom, Ukraine, United States",1
"Germany, Australia, France, China",1
"Norway, United States",1
"United States, Bermuda, Ecuador",1
"United States, Hungary, Ireland, Canada",1
"United Kingdom, Egypt, United States",1
"United States, France, United Kingdom",1
"Spain, Mexico, France",1
